0.01,-0.24,-0.51
0.01,-0.24,-0.51
0.01,-0.24,-0.51
0.01,-0.24,-0.52
0.01,-0.24,-0.52
0.01,-0.24,-0.53
0.01,-0.24,-0.53
0.01,-0.23,-0.54
0.01,-0.23,-0.55
0.01,-0.23,-0.57
0.01,-0.23,-0.58
0.01,-0.22,-0.59
0.01,-0.22,-0.61
0.00,-0.22,-0.62
0.00,-0.22,-0.63
0.00,-0.22,-0.64
0.00,-0.22,-0.66
0.00,-0.21,-0.67
0.00,-0.21,-0.68
0.00,-0.21,-0.69
0.00,-0.21,-0.70
0.00,-0.21,-0.71
0.00,-0.21,-0.72
0.00,-0.21,-0.73
-0.00,-0.21,-0.74
-0.00,-0.21,-0.74
-0.00,-0.21,-0.75
-0.00,-0.21,-0.75
-0.00,-0.21,-0.75
-0.00,-0.21,-0.75
-0.00,-0.21,-0.75
-0.00,-0.21,-0.75
-0.00,-0.22,-0.75
-0.00,-0.22,-0.75
-0.00,-0.23,-0.75
-0.00,-0.25,-0.75
-0.00,-0.26,-0.75
-0.00,-0.27,-0.75
-0.00,-0.29,-0.75
-0.00,-0.30,-0.75
-0.00,-0.32,-0.75
-0.00,-0.33,-0.75
-0.00,-0.34,-0.75
-0.00,-0.34,-0.74
-0.00,-0.35,-0.74
-0.00,-0.35,-0.74
-0.00,-0.35,-0.74
-0.00,-0.36,-0.73
0.00,-0.37,-0.71
0.00,-0.40,-0.68
0.01,-0.42,-0.64
0.01,-0.46,-0.59
0.01,-0.49,-0.54
0.02,-0.52,-0.50
0.02,-0.56,-0.45
0.02,-0.59,-0.40
0.02,-0.62,-0.36
0.03,-0.64,-0.33
0.03,-0.65,-0.30
0.03,-0.66,-0.29
0.03,-0.66,-0.29
0.03,-0.66,-0.29
0.03,-0.66,-0.30
0.03,-0.64,-0.31
0.03,-0.63,-0.33
0.03,-0.61,-0.35
0.03,-0.58,-0.37
0.03,-0.56,-0.39
0.03,-0.53,-0.42
0.03,-0.50,-0.44
0.03,-0.48,-0.46
0.02,-0.45,-0.49
0.02,-0.43,-0.50
0.02,-0.41,-0.52
0.02,-0.40,-0.53
0.02,-0.40,-0.53
0.02,-0.39,-0.54
0.02,-0.39,-0.55
0.02,-0.39,-0.56
0.03,-0.38,-0.58
0.03,-0.38,-0.60
0.03,-0.38,-0.62
0.03,-0.37,-0.64
0.03,-0.37,-0.66
0.03,-0.37,-0.68
0.03,-0.37,-0.70
0.03,-0.37,-0.71
0.03,-0.37,-0.73
0.04,-0.37,-0.73
0.04,-0.37,-0.74
0.04,-0.37,-0.74
0.04,-0.37,-0.74
0.03,-0.37,-0.73
0.03,-0.38,-0.71
0.03,-0.40,-0.68
0.03,-0.42,-0.65
0.02,-0.45,-0.60
0.02,-0.48,-0.56
0.01,-0.51,-0.51
0.01,-0.55,-0.46
0.01,-0.58,-0.41
0.00,-0.61,-0.37
0.00,-0.63,-0.33
-0.00,-0.65,-0.31
-0.00,-0.65,-0.30
-0.00,-0.66,-0.29
-0.00,-0.66,-0.29
-0.00,-0.65,-0.29
-0.00,-0.65,-0.29
-0.00,-0.64,-0.29
-0.00,-0.63,-0.29
-0.00,-0.62,-0.30
-0.00,-0.61,-0.30
-0.00,-0.60,-0.30
-0.00,-0.59,-0.30
-0.00,-0.58,-0.30
-0.00,-0.57,-0.30
-0.00,-0.56,-0.30
-0.00,-0.56,-0.30
-0.00,-0.56,-0.30
-0.00,-0.56,-0.30
-0.00,-0.56,-0.30
-0.00,-0.55,-0.30
-0.00,-0.55,-0.30
-0.00,-0.55,-0.31
-0.00,-0.54,-0.31
-0.00,-0.53,-0.32
0.00,-0.52,-0.32
0.00,-0.51,-0.33
0.00,-0.50,-0.34
0.00,-0.48,-0.35
0.00,-0.47,-0.36
0.00,-0.45,-0.37
0.00,-0.44,-0.39
0.00,-0.42,-0.40
0.00,-0.40,-0.41
0.00,-0.39,-0.42
0.00,-0.37,-0.43
0.01,-0.36,-0.44
0.01,-0.34,-0.45
0.01,-0.32,-0.46
0.01,-0.31,-0.47
0.01,-0.29,-0.48
0.01,-0.28,-0.49
0.01,-0.27,-0.49
0.01,-0.26,-0.50
0.01,-0.25,-0.50
0.01,-0.25,-0.51
0.01,-0.24,-0.51
0.01,-0.24,-0.51
